# x z
13.980000 0.000000
13.417270 4.100532
11.863100 7.799675
9.676291 10.735330
7.326359 12.620140
5.250000 13.269600
3.729401 12.620140
2.834470 10.735330
2.446141 7.799675
2.346971 4.100529
2.340000 -0.000001
2.346971 -4.100532
2.446141 -7.799677
2.834471 -10.735330
3.729401 -12.620140
5.250000 -13.269600
7.326360 -12.620140
9.676292 -10.735330
11.863100 -7.799671
13.417270 -4.100531
